EstimatedDeathRate,avgAnnCount,avgDeathsPerYear,TARGET_deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,binnedInc,MedianAge,MedianAgeMale,MedianAgeFemale,Geography,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds,BirthRate
169.1708251326953,1397.0,469.0,164.9,489.8,61898.0,260131.0,11.2,499.7482038,"(61494.5, 125635]",39.3,36.9,41.7,"Kitsap County, Washington",2.54,52.5,11.5,39.5,42.1,6.9,23.2,19.6,51.9,8.0,75.1,0.0,41.6,32.9,14.0,81.78052858,2.594728333,4.821857102,1.843478533,52.85607588,6.118831029
154.6363005131823,173.0,70.0,161.3,411.6,48127.0,43269.0,18.6,23.11123437,"(48021.6, 51046.4]",33.0,32.2,33.7,"Kittitas County, Washington",2.34,44.5,6.1,22.4,64.0,7.5,26.0,22.7,55.9,7.8,70.2,53.8,43.6,31.1,15.3,89.22850915,0.969102455,2.246232585,3.7413515310000003,45.37250044,4.333095578
149.3130632651282,102.0,50.0,174.7,349.7,49348.0,21026.0,14.6,47.56016361,"(48021.6, 51046.4]",45.0,44.0,45.8,"Klickitat County, Washington",2.62,54.2,24.0,36.6,0.0,9.5,29.0,16.0,45.9,7.0,63.7,43.5,34.9,42.1,21.1,90.9221902,0.739673391,0.465898175,2.7473583089999996,54.44486837,3.729487817
184.74838866111125,427.0,202.0,194.8,430.4,44243.0,75882.0,17.1,342.6372526,"(42724.4, 45201]",42.8,42.2,43.4,"Lewis County, Washington",2.52,52.7,20.2,41.2,36.1,2.5,31.6,9.3,48.3,12.1,58.4,40.3,35.0,45.3,25.0,91.74468649,0.782625968,1.16135867,1.362643183,51.02151448,4.603840773
153.0274805281761,57.0,26.0,144.4,350.1,49955.0,10321.0,12.5,0.0,"(48021.6, 51046.4]",48.3,47.8,48.9,"Lincoln County, Washington",2.34,57.8,14.9,43.0,40.0,2.0,33.4,15.0,48.2,4.8,61.6,43.9,35.1,44.0,22.7,94.10402393,0.270192029,0.665830358,0.492135482,54.02745995,6.796657382
187.35479650381623,428.0,152.0,176.0,505.4,52313.0,61023.0,15.6,180.259902,"(51046.4, 54545.6]",45.4,43.5,48.0,"Mason County, Washington",2.58,50.4,29.9,35.1,0.0,4.5,30.4,11.9,44.1,12.9,60.0,38.8,32.6,43.2,20.2,84.88263065,1.653205244,1.53805662,3.31463539,51.22035959,4.964476021
190.26048738191204,250.0,97.0,175.9,461.8,37782.0,41516.0,23.2,0.0,"(37413.8, 40362.7]",42.6,42.2,43.5,"Okanogan County, Washington",2.42,54.1,26.1,41.4,0.0,5.8,29.8,11.9,51.8,8.9,49.5,35.0,28.3,46.4,28.7,75.10645505,0.616955386,0.8661569729999999,8.356721185,51.01389975,4.204317269
166.68114372410918,146.0,71.0,183.6,404.0,40189.0,20848.0,17.8,0.0,"(37413.8, 40362.7]",51.7,50.8,52.5,"Pacific County, Washington",2.24,52.7,27.3,33.9,36.5,2.2,31.6,11.3,40.9,8.9,55.8,33.1,25.9,50.9,24.1,89.40663599,0.305158634,1.8890772580000001,2.286267861,48.96703297,5.889178996
191.72712779663055,88.0,36.0,190.5,459.4,42579.0,13088.0,22.3,0.0,"(40362.7, 42724.4]",49.3,48.4,49.8,"Pend Oreille County, Washington",2.38,55.9,34.7,39.4,0.0,1.4,32.2,12.0,39.5,10.3,55.5,37.8,29.9,48.1,26.6,91.78747687,0.185070944,0.208204812,0.6169031460000001,53.44699778,5.587583148999999
183.16881511327261,4025.0,1380.0,177.8,510.9,60397.0,843954.0,13.1,427.7484318,"(54545.6, 61494.5]",35.8,34.7,37.0,"Pierce County, Washington",2.65,50.0,15.6,36.3,0.0,7.1,28.8,16.2,56.6,9.2,69.9,0.0,44.4,31.4,16.5,74.72966791,6.710854162,6.0414720079999995,2.6991843810000002,50.06357342,5.533430211000001
